Timestamp,Car,Bus,Auto-Rikshaw,Motor-Cycle
2024-11-03T15:44:36.085779,1,0,1,9
2024-11-03T15:44:34.030464,1,0,1,8
2024-11-03T15:44:30.210549,1,0,1,7
2024-11-03T15:44:24.875739,1,0,1,6
2024-11-03T15:44:21.167121,1,0,1,5
2024-11-03T15:44:15.638741,0,0,1,5
2024-11-03T15:44:10.938620,0,0,1,4
2024-11-03T15:44:00.141410,0,0,1,3
2024-11-03T15:43:54.844458,0,0,0,3
2024-11-03T15:43:41.940034,0,0,0,2
